RANK DYNAMICS  4 pairs, gap 4, 12000 steps, muon, lr 0.0003, seed 0
R = M - 1(mean row)^T is EXACTLY 0 for a key-independent readout; its singular values
measure key-dependence and its rank (max rank 3).

   step      ce     acc    diag     sig1     sig2     sig3      |R|
-------------------------------------------------------------------
      1   4.506   0.026   0.252   0.0199   0.0115   0.0012   0.0230
    500   4.164   0.042   0.249   0.0031   0.0020   0.0009   0.0038
   1000   3.949   0.057   0.251   0.0031   0.0026   0.0005   0.0040
   1500   3.157   0.115   0.250   0.0051   0.0020   0.0001   0.0055
   2000   3.144   0.203   0.250   0.0047   0.0005   0.0001   0.0047
   2500   2.539   0.208   0.250   0.0035   0.0018   0.0002   0.0039
   3000   2.687   0.276   0.251   0.0032   0.0018   0.0005   0.0037
   3500   2.298   0.219   0.250   0.0048   0.0017   0.0001   0.0051
   4000   1.931   0.245   0.250   0.0024   0.0014   0.0010   0.0029
   4500   2.118   0.260   0.250   0.0023   0.0017   0.0005   0.0029
   5000   2.143   0.250   0.250   0.0041   0.0025   0.0005   0.0049
   5500   2.032   0.250   0.251   0.0028   0.0019   0.0006   0.0035
   6000   1.688   0.260   0.250   0.0032   0.0030   0.0004   0.0045
   6500   1.899   0.297   0.250   0.0021   0.0012   0.0001   0.0024
   7000   1.978   0.219   0.250   0.0026   0.0020   0.0002   0.0032
   7500   1.599   0.255   0.250   0.0025   0.0012   0.0000   0.0028
